"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"Company","SetModuleProcessType","POST","/api/v2/Company/SetModuleProcessType","ModuleProcessTypeParam","TResult`1"
"Company","HasSpecialParameter","POST","/api/v2/Company/HasSpecialParameter","HasSpecialParameterParam","TResult`1"
"Company","GetCompanyCode","GET","/api/v2/Company/GetCompanyCode","","TResult`1"
"ContractsMain","GetInternalById","GET","/api/v2/ContractsMain/GetInternalById","String","TResult`1"
"DemandOffer","Describe","POST","/api/v2/DemandOffer/Describe","","String"
"DemandOffer","PostInternal","POST","/api/v2/DemandOffer","DemandOffer","TResult`1"
"DemandOffer","ConvertToOffer","POST","/api/v2/DemandOffer/ConvertToOffer","ConvertToOfferParam","TResult`1"
"DemandOffer","ConvertToOrder","POST","/api/v2/DemandOffer/ConvertToOrder","ConvertToOrderParam","TResult`1"
"DemandOffer","NewNumber","POST","/api/v2/DemandOffer/NewNumber","ItemSlipsCodeParam","TResult`1"
"DocumentLocking","Describe","POST","/api/v2/DocumentLocking/Describe","","String"
"DocumentLocking","GetProductionOrderLocking","GET","/api/v2/DocumentLocking/GetProductionOrderLocking","ProductionOrderLockingParam","TResult`1"
"DocumentLocking","SaveProductionOrderLocking","POST","/api/v2/DocumentLocking/SaveProductionOrderLocking","ProductionOrderLocking","TResult`1"
"DocumentLocking","GetBOMLocking","GET","/api/v2/DocumentLocking/GetBOMLocking","BOMLockingParam","TResult`1"
"DocumentLocking","SaveBOMLocking","POST","/api/v2/DocumentLocking/SaveBOMLocking","BOMLocking","TResult`1"
"DocumentLocking","GetMaintenanceOrderLocking","GET","/api/v2/DocumentLocking/GetMaintenanceOrderLocking","MaintenanceOrderLockingParam","TResult`1"
"DocumentLocking","SaveMaintenanceOrderLocking","POST","/api/v2/DocumentLocking/SaveMaintenanceOrderLocking","MaintenanceOrderLocking","TResult`1"
"DocumentLocking","GetGLSlipsLocking","GET","/api/v2/DocumentLocking/GetGLSlipsLocking","GLSlipsLockingParam","TResult`1"
"DocumentLocking","SaveGLSlipsLocking","POST","/api/v2/DocumentLocking/SaveGLSlipsLocking","GLSlipsLocking","TResult`1"
"DocumentLocking","GetItemSlipsLocking","GET","/api/v2/DocumentLocking/GetItemSlipsLocking","ItemSlipsLockingParam","TResult`1"
"DocumentLocking","SaveItemSlipsLocking","POST","/api/v2/DocumentLocking/SaveItemSlipsLocking","ItemSlipsLocking","TResult`1"
"DynamicWarehsSlips","PostInternal","POST","/api/v2/DynamicWarehsSlips","DynamicWarehsSlips","TResult`1"
"EDocument","Describe","POST","/api/v2/EDocument/Describe","","String"
"EDocument","PostInternal","POST","/api/v2/EDocument","EDocument","TResult`1"
"EDocument","ShowEDocument","POST","/api/v2/EDocument/ShowEDocument","EDocumentShowParam","TResult`1"
"EDocument","SendEDocument","POST","/api/v2/EDocument/SendEDocument","EDocumentSendParam","TResult`1"
"EDocument","CheckEDocument","POST","/api/v2/EDocument/CheckEDocument","EDocumentCheckParam","TResult`1"
"EDocument","EDocCurrentUpdate","POST","/api/v2/EDocument/EDocCurrentUpdate","","TResult`1"
