"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"PlanningRecord","DeleteCustomerSupplierItemPlanningRecord","DELETE","/api/v2/PlanningRecord/DeleteCustomerSupplierItemPlanningRecord","CustomerSupplierItemPlanningRecordParam","TResult`1"
"Print","ItemSlipsPrinting","POST","/api/v2/Print/ItemSlipsPrinting","ItemSlipsPrintParam","TResult`1"
"Print","GLSlipsPrinting","POST","/api/v2/Print/GLSlipsPrinting","GLSlipsPrintParam","TResult`1"
"Print","CheckAndPNotesMainPrinting","POST","/api/v2/Print/CheckAndPNotesMainPrinting","CheckAndPNotesMainPrintParam","TResult`1"
"Print","StatementsHeaderPrinting","POST","/api/v2/Print/StatementsHeaderPrinting","StatementsHeaderPrintParam","TResult`1"
"Print","SafeDepositsPrinting","POST","/api/v2/Print/SafeDepositsPrinting","SafeDepositPrintParam","TResult`1"
"Print","ItemSlipsItemsBatchBarcodePrinting","POST","/api/v2/Print/ItemSlipsItemsBatchBarcodePrinting","ItemSlipsItemsBatchBarcodePrintParam","TResult`1"
"Print","ItemSlipsItemBarcodePrinting","POST","/api/v2/Print/ItemSlipsItemBarcodePrinting","ItemSlipsItemBarcodePrintParam","TResult`1"
"Print","ItemBarcodePrinting","POST","/api/v2/Print/ItemBarcodePrinting","ItemBarcodePrintingParam","TResult`1"
"ProcessControl","Describe","POST","/api/v2/ProcessControl/Describe","","String"
"ProcessControl","GetInternal","GET","/api/v2/ProcessControl","SelectFilter","TSelectData`1"
"ProcessControl","GetInternalById","GET","/api/v2/ProcessControl/GetInternalById","String","TResult`1"
"ProcessControl","PostInternal","POST","/api/v2/ProcessControl","ProcessControl","TResult`1"
"ProcessControl","PutInternal","PUT","/api/v2/ProcessControl","String, ProcessControl","TResult`1"
"ProcessControl","DeleteInternalById","DELETE","/api/v2/ProcessControl","String","TResult`1"
"ProducerReceipt","GetInternal","GET","/api/v2/ProducerReceipt","SelectFilter","TSelectData`1"
"ProducerReceipt","PostInternal","POST","/api/v2/ProducerReceipt","ProducerReceipt","TResult`1"
"ProducerReceipt","DeleteInternalById","DELETE","/api/v2/ProducerReceipt","String","TResult`1"
"ProducerReceipt","ReadLastNumber","GET","/api/v2/ProducerReceipt/ReadLastNumber","String","TResult`1"
"ProducerReceipt","ChangeProducerNumber","PUT","/api/v2/ProducerReceipt/ChangeProducerNumber","ChangeProducerNumberParam","TResult`1"
"ProductionFlow","Describe","POST","/api/v2/ProductionFlow/Describe","","String"
"ProductionFlow","GetInternal","GET","/api/v2/ProductionFlow","SelectFilter","TSelectData`1"
"ProductionFlow","GetInternalById","GET","/api/v2/ProductionFlow/GetInternalById","String","TResult`1"
"ProductionFlow","PostInternal","POST","/api/v2/ProductionFlow","ProductionFlow","TResult`1"
"ProductionFlow","DeleteInternalById","DELETE","/api/v2/ProductionFlow","String","TResult`1"
"ProductionFlow","ProductionFlowToFinishedGoodsReceipt","POST","/api/v2/ProductionFlow/ProductionFlowToFinishedGoodsReceipt","FinishedGoodsReceiptParam","TResult`1"
"ProductionOrderFromBOM","Describe","POST","/api/v2/ProductionOrderFromBOM/Describe","","String"
"ProductionOrderFromBOM","PrepareProductionOrderItemList","POST","/api/v2/ProductionOrderFromBOM/PrepareProductionOrderItemList","ProductionOrderFromBOMParam","TResult`1"
"ProductionOrderFromBOM","GenerateProductionOrderItems","POST","/api/v2/ProductionOrderFromBOM/GenerateProductionOrderItems","ProductionOrderFromBOMParam","TResult`1"
"ProductionOrder","GetInternal","GET","/api/v2/ProductionOrder","SelectFilter","TSelectData`1"
"ProductionOrder","PostInternal","POST","/api/v2/ProductionOrder","JIsEmri","TResult`1"
"ProductMaterialCost","Describe","POST","/api/v2/ProductMaterialCost/Describe","","String"
"ProductMaterialCost","GenerateProductMaterialCosts","POST","/api/v2/ProductMaterialCost/GenerateProductMaterialCosts","GenerateProductMaterialCostsParam","TResult`1"
"Project","GetInternal","GET","/api/v2/Project","SelectFilter","TSelectData`1"
"Project","GetInternalById","GET","/api/v2/Project/GetInternalById","String","TResult`1"
"Project","PostInternal","POST","/api/v2/Project","Project","TResult`1"
"Project","PutInternal","PUT","/api/v2/Project","String, Project","TResult`1"
"Project","DeleteInternalById","DELETE","/api/v2/Project","String","TResult`1"
"Public","Ping","POST","/api/v2/Public/Ping","","String"
"Public","Version","POST","/api/v2/Public/Version","","String"
"Public","AuthorizedBranches","POST","/api/v2/Public/AuthorizedBranches","String, String","TSelectData`1"
"Public","GetLicInfo","GET","/api/v2/Public/GetLicInfo","String","TResult`1"
"Public","NetsisMinorVersion","POST","/api/v2/Public/NetsisMinorVersion","","JTNetsisAltSurum"
"Public","NetsisMasterVersion","POST","/api/v2/Public/NetsisMasterVersion","","JTNetsisAnaSurum"
"Public","CompanyList","POST","/api/v2/Public/CompanyList","","List`1"
"QualityControls","GetInternal","GET","/api/v2/QualityControls","SelectFilter","TSelectData`1"
"QualityControls","GetInternalById","GET","/api/v2/QualityControls/GetInternalById","String","TResult`1"
"QualityControls","PostInternal","POST","/api/v2/QualityControls","QualityControl","TResult`1"
"QualityControls","PutInternal","PUT","/api/v2/QualityControls","String, QualityControl","TResult`1"
"QualityControls","DeleteInternalById","DELETE","/api/v2/QualityControls","String","TResult`1"
"QualityControls","DeleteQualityControlTransaction","DELETE","/api/v2/QualityControls/DeleteQualityControlTransaction","QualityControlTransactionParam","TResult`1"
"QualityControls","DeleteQualityControlMeasurement","DELETE","/api/v2/QualityControls/DeleteQualityControlMeasurement","QualityControlMeasurementParam","TResult`1"
"Query","GetInternal","GET","/api/v2/Query","QualityControlMeasurementParam",
"Query","PostInternal","POST","/api/v2/Query","QualityControlMeasurementParam",
"Query","NetRS","POST","/api/v2/Query/NetRS","QualityControlMeasurementParam",
"Query","NetRS","POST","/api/v2/Query/NetRS","QualityControlMeasurementParam",
"Request","GetResult","GET","/api/v2/Request/GetResult","","String"
"SafeDeposits","GetInternal","GET","/api/v2/SafeDeposits","SelectFilter","TSelectData`1"
"SafeDeposits","GetInternalById","GET","/api/v2/SafeDeposits/GetInternalById","String","TResult`1"
"SafeDeposits","PostInternal","POST","/api/v2/SafeDeposits","SafeDeposits","TResult`1"
"SafeDeposits","DeleteInternalById","DELETE","/api/v2/SafeDeposits","String","TResult`1"
"SafeDeposits","LastBalance","POST","/api/v2/SafeDeposits/LastBalance","String","TResult`1"
"StatementsHeader","GetInternal","GET","/api/v2/StatementsHeader","SelectFilter","TSelectData`1"
"StatementsHeader","GetInternalById","GET","/api/v2/StatementsHeader/GetInternalById","String","TResult`1"
"StatementsHeader","GetInternalByParam","GET","/api/v2/StatementsHeader/GetInternalByParam","StatementsHeaderParam","TResult`1"
"StatementsHeader","PostInternal","POST","/api/v2/StatementsHeader","StatementsHeader","TResult`1"
"StatementsHeader","PutInternal","PUT","/api/v2/StatementsHeader","String, StatementsHeader","TResult`1"
"StatementsHeader","DeleteInternalById","DELETE","/api/v2/StatementsHeader","String","TResult`1"
"StatementsHeader","DeleteInternalByParam","DELETE","/api/v2/StatementsHeader/DeleteInternalByParam","StatementsHeaderParam","TResult`1"
"StatementsHeader","NewNumber","POST","/api/v2/StatementsHeader/NewNumber","StatementsHeaderParam","TResult`1"
"Token","Get","GET","/api/v2/Token/Get","oAuth2","oAuth2"
"Token","Get","GET","/api/v2/Token/Get","String","oAuth2"
"Token","IsCached","POST","/api/v2/Token/IsCached","oAuth2","Boolean"
"Token","IsCached","POST","/api/v2/Token/IsCached","String","Boolean"
"Token","InsertUpdate","POST","/api/v2/Token/InsertUpdate","oAuth2","Void"
"Token","Clear","POST","/api/v2/Token/Clear","","Void"
"Token","Remove","POST","/api/v2/Token/Remove","oAuth2","Void"
"Token","Remove","POST","/api/v2/Token/Remove","String","Void"
"WorkFlow","GetInternal","GET","/api/v2/WorkFlow","SelectFilter","TSelectData`1"
"WorkFlow","PostInternal","POST","/api/v2/WorkFlow","WorkFlow","TResult`1"
